chain	address	label	source_file	source_line	is_nft_like	is_action_like	nft_transfer_rows	nft_unique_receivers	nft_unique_token_ids_seen	action_normal_tx_rows	action_unique_direct_tx_senders	notes
base_sepolia	0x8195a9a8a97658672d5384e19a763804d6e16639	_L2	solidity/.deploy-state.json	21	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
sepolia	0x14ffaceb52025d2a04f3fa997e3946b17eb28af2	CAW_NAMES_ADDRESS	client/src/abi/addresses.ts.example	16	True	False	0	0	0			
sepolia	0xbe2329e895e0c8e2934c8b3096445c9a11c99d49	CAW_CHALLENGE_RELAY_ADDRESS	client/src/abi/addresses.ts.example	30	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
base_sepolia	0xbe2329e895e0c8e2934c8b3096445c9a11c99d49	CAW_CHALLENGE_RELAY_ADDRESS	client/src/abi/addresses.ts.example	30	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
arbitrum_sepolia	0xbe2329e895e0c8e2934c8b3096445c9a11c99d49	CAW_CHALLENGE_RELAY_ADDRESS	client/src/abi/addresses.ts.example	30	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
sepolia	0xbacef3de5a2c8036268df5a59c3cce2fbd533883	CAW_NAMES_MINTER_ADDRESS	client/src/abi/addresses.ts.example	18	True	False	0	0	0			
base_sepolia	0xbacef3de5a2c8036268df5a59c3cce2fbd533883	CAW_NAMES_MINTER_ADDRESS	client/src/abi/addresses.ts.example	18	True	False	0	0	0			
arbitrum_sepolia	0xbacef3de5a2c8036268df5a59c3cce2fbd533883	CAW_NAMES_MINTER_ADDRESS	client/src/abi/addresses.ts.example	18	True	False	0	0	0			
sepolia	0x5696675ab8e8e82cbe46c805f47875cf836bfd2a	CAW_NAME_MARKETPLACE_ADDRESS	client/src/abi/addresses.ts.example	31	True	False	0	0	0			
base_sepolia	0x5696675ab8e8e82cbe46c805f47875cf836bfd2a	CAW_NAME_MARKETPLACE_ADDRESS	client/src/abi/addresses.ts.example	31	True	False	0	0	0			
arbitrum_sepolia	0x5696675ab8e8e82cbe46c805f47875cf836bfd2a	CAW_NAME_MARKETPLACE_ADDRESS	client/src/abi/addresses.ts.example	31	True	False	0	0	0			
sepolia	0xb3ff59926e50596c1563bb703455050256e70951	RELAY_ADDRESS	solidity/scripts/test-slash.js	20	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
base_sepolia	0xb3ff59926e50596c1563bb703455050256e70951	RELAY_ADDRESS	solidity/scripts/test-slash.js	20	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
arbitrum_sepolia	0xb3ff59926e50596c1563bb703455050256e70951	RELAY_ADDRESS	solidity/scripts/test-slash.js	20	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
sepolia	0x1641b0c89b42d19d58f206b81b170325a3e160ad	UNKNOWN	solidity/scripts/helpers.js	20	True	False	0	0	0			
base_sepolia	0x1641b0c89b42d19d58f206b81b170325a3e160ad	UNKNOWN	solidity/scripts/helpers.js	20	True	False	0	0	0			
arbitrum_sepolia	0x1641b0c89b42d19d58f206b81b170325a3e160ad	UNKNOWN	solidity/scripts/helpers.js	20	True	False	0	0	0			
sepolia	0x27108da237a5200fbcb3fc62ee08ee07d84a1331	UNKNOWN	solidity/docs/TESTNET_MINTING.md	20	True	False	0	0	0			
base_sepolia	0x27108da237a5200fbcb3fc62ee08ee07d84a1331	UNKNOWN	solidity/docs/TESTNET_MINTING.md	20	True	False	0	0	0			
arbitrum_sepolia	0x27108da237a5200fbcb3fc62ee08ee07d84a1331	UNKNOWN	solidity/docs/TESTNET_MINTING.md	20	True	False	0	0	0			
sepolia	0x3100b1e890b7a4f3da0b6be0388a9b2aff9c8e79	UNKNOWN	client/src/abi/deployments.ts	72	True	False	0	0	0			
base_sepolia	0x3100b1e890b7a4f3da0b6be0388a9b2aff9c8e79	UNKNOWN	client/src/abi/deployments.ts	72	True	False	0	0	0			
arbitrum_sepolia	0x3100b1e890b7a4f3da0b6be0388a9b2aff9c8e79	UNKNOWN	client/src/abi/deployments.ts	72	True	False	0	0	0			
sepolia	0x454450aa713a99b06ee4aa05ede5d80ca1bd3075	UNKNOWN	client/src/abi/deployments.ts	91	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
base_sepolia	0x454450aa713a99b06ee4aa05ede5d80ca1bd3075	UNKNOWN	client/src/abi/deployments.ts	91	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
arbitrum_sepolia	0x454450aa713a99b06ee4aa05ede5d80ca1bd3075	UNKNOWN	client/src/abi/deployments.ts	91	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
sepolia	0x56f0d5da1bc735e03d6a4cd988784ed498fd9ee3	UNKNOWN	solidity/docs/TESTNET_MINTING.md	11	True	False	0	0	0			
base_sepolia	0x56f0d5da1bc735e03d6a4cd988784ed498fd9ee3	UNKNOWN	solidity/docs/TESTNET_MINTING.md	11	True	False	0	0	0			
arbitrum_sepolia	0x56f0d5da1bc735e03d6a4cd988784ed498fd9ee3	UNKNOWN	solidity/docs/TESTNET_MINTING.md	11	True	False	0	0	0			
sepolia	0x6404d1d3d878407a0977d99c832453f235da67c3	UNKNOWN	client/src/abi/deployments.ts	73	True	False	0	0	0			
base_sepolia	0x6404d1d3d878407a0977d99c832453f235da67c3	UNKNOWN	client/src/abi/deployments.ts	73	True	False	0	0	0			
arbitrum_sepolia	0x6404d1d3d878407a0977d99c832453f235da67c3	UNKNOWN	client/src/abi/deployments.ts	73	True	False	0	0	0			
sepolia	0x8195a9a8a97658672d5384e19a763804d6e16639	UNKNOWN	client/src/abi/deployments.ts	85	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
base_sepolia	0x8195a9a8a97658672d5384e19a763804d6e16639	UNKNOWN	client/src/abi/deployments.ts	85	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
arbitrum_sepolia	0x8195a9a8a97658672d5384e19a763804d6e16639	UNKNOWN	client/src/abi/deployments.ts	85	False	True				0	0	Direct tx senders may be validators/relayers, not end users, because actions can be batched.
sepolia	0x8d65d141a60b1e1136be62604783aade8e7290d9	UNKNOWN	client/src/abi/deployments.ts	71	True	False	0	0	0			
base_sepolia	0x8d65d141a60b1e1136be62604783aade8e7290d9	UNKNOWN	client/src/abi/deployments.ts	71	True	False	0	0	0			
arbitrum_sepolia	0x8d65d141a60b1e1136be62604783aade8e7290d9	UNKNOWN	client/src/abi/deployments.ts	71	True	False	0	0	0			
sepolia	0x9fcbb3d6880cd3293f1a731fe6c958a6621a74bf	UNKNOWN	client/src/abi/deployments.ts	68	True	False	0	0	0			
base_sepolia	0x9fcbb3d6880cd3293f1a731fe6c958a6621a74bf	UNKNOWN	client/src/abi/deployments.ts	68	True	False	0	0	0			
arbitrum_sepolia	0x9fcbb3d6880cd3293f1a731fe6c958a6621a74bf	UNKNOWN	client/src/abi/deployments.ts	68	True	False	0	0	0			
sepolia	0xec947761e38dbd47e53fe15adc5519ccf2cc7ea5	UNKNOWN	solidity/scripts/helpers.js	18	True	False	0	0	0			
base_sepolia	0xec947761e38dbd47e53fe15adc5519ccf2cc7ea5	UNKNOWN	solidity/scripts/helpers.js	18	True	False	0	0	0			
arbitrum_sepolia	0xec947761e38dbd47e53fe15adc5519ccf2cc7ea5	UNKNOWN	solidity/scripts/helpers.js	18	True	False	0	0	0			
sepolia	0x9ceffadc838a39d10a241d9a473844ef0cb6274f	URI	client/src/abi/deployments.ts	74	True	False	0	0	0			
base_sepolia	0x9ceffadc838a39d10a241d9a473844ef0cb6274f	URI	client/src/abi/deployments.ts	74	True	False	0	0	0			
arbitrum_sepolia	0x9ceffadc838a39d10a241d9a473844ef0cb6274f	URI	client/src/abi/deployments.ts	74	True	False	0	0	0			
