source	token	holders	raw_status	raw_message	raw_json
ethplorer_getTokenInfo	0xf3b9569f82b18aef890de263b84189bd33ebe452	26950			"{""address"": ""0xf3b9569f82b18aef890de263b84189bd33ebe452"", ""contractInfo"": {""creationTimestamp"": 1649911294, ""creationTransactionHash"": ""0x4d160f76cdacbffc4f7302d4fb180317e15d19080cbbaded4ef0197e71ba515c"", ""creatorAddress"": ""0x36b59455afeedf0866fe6e775fe7651bbbe3e005""}, ""countOps"": 467843, ""decimals"": ""18"", ""ethTransfersCount"": 1, ""holdersCount"": 26950, ""image"": ""/images/CAWf3b9569f.jpg"", ""lastUpdated"": 1778846031, ""name"": ""A Hunters Dream"", ""owner"": """", ""price"": {""availableSupply"": 0, ""currency"": ""USD"", ""diff"": 4.86, ""diff30d"": -38.40247673989657, ""diff7d"": -11.6, ""marketCapUsd"": 22320411.740641937, ""rate"": 3.505616003933844e-08, ""ts"": 1778846040, ""volDiff1"": 6.172989648192001, ""volDiff30"": 30.528596013426636, ""volDiff7"": 4.375860047456982, ""volume24h"": 442068.40591786}, ""symbol"": ""CAW"", ""totalSupply"": ""666666666666666000000000000000000"", ""transfersCount"": 467843, ""txsCount"": 172897, ""website"": ""https://caw.is""}"
etherscan_tokenholdercount	0xf3b9569f82b18aef890de263b84189bd33ebe452	You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration	0	NOTOK	"{""message"": ""NOTOK"", ""result"": ""You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration"", ""status"": ""0""}"
